month_period,value
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,0.0
2010-03-20,0.0
2010-03-21,142.0
2010-03-22,8.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,33.0
2010-03-26,122.0
2010-03-27,0.0
2010-03-28,15.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,0.0
2010-04-01,0.0
2010-04-02,0.0
2010-04-03,175.0
2010-04-04,0.0
2010-04-05,0.0
2010-04-06,0.0
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,0.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-17,0.0
2010-04-18,0.0
2010-04-20,20.0
2010-04-21,0.0
2010-04-22,0.0
2010-04-24,140.0
2010-04-25,8.0
2010-04-26,0.0
2010-04-27,13.0
2010-04-28,0.0
2010-04-30,0.0
2010-05-01,15.0
2010-05-02,155.0
2010-05-03,201.0
2010-05-04,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-08,389.0
2010-05-09,3.0
2010-05-10,0.0
2010-05-13,0.0
2010-05-16,127.0
2010-05-21,185.0
2010-05-22,0.0
2010-05-23,0.0
2010-05-24,0.0
2010-05-25,20.0
2010-05-26,188.0
2010-05-27,0.0
2010-05-28,0.0
2010-05-30,124.0
2010-06-02,180.0
2010-06-09,0.0
2010-06-12,0.0
2010-06-13,0.0
2010-06-15,0.0
2010-06-16,165.0
2010-06-17,0.0
2010-06-18,295.0
2010-06-19,28.0
2010-06-20,8.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,241.0
2010-06-25,0.0
2010-06-26,0.0
2010-06-27,0.0
2010-07-02,0.0
2010-07-03,0.0
2010-07-05,0.0
2010-07-06,218.0
2010-07-07,10.0
2010-07-08,8.0
2010-07-10,0.0
2010-07-11,0.0
2010-07-12,0.0
2010-07-14,0.0
2010-07-16,0.0
2010-07-17,112.0
2010-07-18,140.0
2010-07-19,36.0
2010-07-20,229.0
2010-07-24,0.0
2010-07-25,127.0
2010-07-26,10.0
2010-07-27,5.0
2010-07-28,5.0
2010-07-29,36.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,10.0
2010-08-05,18.0
2010-08-06,356.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-11,10.0
2010-08-13,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-29,0.0
2010-08-30,0.0
2010-08-31,10.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,66.0
2010-09-05,0.0
2010-09-07,0.0
2010-09-09,0.0
2010-09-11,0.0
2010-09-12,0.0
2010-09-13,0.0
2010-09-15,0.0
2010-09-17,0.0
2010-09-18,0.0
2010-09-19,0.0
2010-09-20,0.0
2010-09-21,0.0
2010-09-26,0.0
2010-09-27,58.0
2010-10-18,0.0
2010-11-30,572.0
