month_period,value
2002-10-01,0.0
2002-10-02,0.0
2002-10-03,30.0
2002-10-04,124.0
2002-10-05,0.0
2002-10-06,0.0
2002-10-07,117.0
2002-10-08,3.0
2002-10-09,0.0
2002-10-10,18.0
2002-10-11,0.0
2002-10-12,0.0
2002-10-13,0.0
2002-10-14,0.0
2002-10-15,0.0
2002-10-16,0.0
2002-10-17,0.0
2002-10-18,0.0
2002-10-19,0.0
2002-10-20,104.0
2002-10-21,241.0
2002-10-22,0.0
2002-10-23,0.0
2002-10-24,0.0
2002-10-25,0.0
2002-10-26,180.0
2002-10-27,97.0
2002-10-28,437.0
2002-10-29,132.0
2002-10-30,0.0
2002-10-31,0.0
2002-11-01,0.0
2002-11-02,0.0
2002-11-03,38.0
2002-11-04,206.0
2002-11-05,340.0
2002-11-06,20.0
2002-11-07,0.0
2002-11-08,0.0
2002-11-09,0.0
2002-11-10,0.0
2002-11-11,257.0
2002-11-12,8.0
2002-11-13,0.0
2002-11-14,0.0
2002-11-15,338.0
2002-11-16,0.0
2002-11-17,0.0
2002-11-18,0.0
2002-11-19,3.0
2002-11-20,0.0
2002-11-21,0.0
2002-11-22,0.0
2002-11-23,0.0
2002-11-24,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,23.0
2002-11-28,0.0
2002-11-29,0.0
2002-11-30,53.0
2002-12-01,0.0
2002-12-02,0.0
2002-12-03,0.0
2002-12-04,25.0
2002-12-05,279.0
2002-12-06,0.0
2002-12-07,0.0
2002-12-08,0.0
2002-12-09,0.0
2002-12-10,76.0
2002-12-11,0.0
2002-12-12,0.0
2002-12-13,150.0
2002-12-14,0.0
2002-12-15,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,8.0
2002-12-19,0.0
2002-12-20,160.0
2002-12-21,0.0
2002-12-22,0.0
2002-12-23,0.0
2002-12-25,0.0
2002-12-26,0.0
2002-12-27,0.0
2002-12-28,0.0
2002-12-29,0.0
2002-12-30,0.0
2003-01-02,0.0
2003-01-03,5.0
2003-01-04,0.0
2003-01-05,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,3.0
2003-01-11,0.0
2003-01-12,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,43.0
2003-01-17,5.0
2003-01-18,0.0
2003-01-19,0.0
2003-01-20,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-01-24,0.0
2003-01-25,0.0
2003-01-26,0.0
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,76.0
2003-01-30,356.0
2003-01-31,0.0
2003-02-01,0.0
2003-02-02,0.0
2003-02-03,0.0
2003-02-04,13.0
2003-02-05,0.0
2003-02-06,142.0
2003-02-07,287.0
2003-02-08,0.0
2003-02-09,0.0
2003-02-10,325.0
2003-02-11,0.0
2003-02-12,0.0
2003-02-13,0.0
2003-02-14,0.0
2003-02-15,389.0
2003-02-16,5.0
2003-02-17,0.0
2003-02-18,0.0
2003-02-19,0.0
2003-02-20,0.0
2003-02-21,546.0
2003-02-22,409.0
2003-02-23,0.0
2003-02-24,3.0
2003-02-25,28.0
2003-02-26,28.0
2003-02-27,114.0
2003-02-28,0.0
2003-03-01,0.0
2003-03-02,0.0
2003-03-03,0.0
2003-03-04,5.0
2003-03-05,0.0
2003-03-06,490.0
2003-03-07,5.0
2003-03-08,0.0
2003-03-09,0.0
2003-03-10,0.0
2003-03-11,0.0
2003-03-12,0.0
2003-03-13,0.0
2003-03-14,0.0
2003-03-15,0.0
2003-03-16,0.0
2003-03-17,36.0
2003-03-18,0.0
2003-03-19,155.0
2003-03-20,0.0
2003-03-21,0.0
2003-03-22,0.0
2003-03-23,0.0
2003-03-24,0.0
2003-03-25,0.0
2003-03-26,46.0
2003-03-29,0.0
2003-03-30,0.0
2003-03-31,0.0
2003-04-01,0.0
2003-04-02,0.0
2003-04-03,0.0
2003-04-04,0.0
2003-04-05,38.0
2003-04-06,13.0
2003-04-07,904.0
2003-04-08,13.0
2003-04-09,3.0
2003-04-10,0.0
2003-04-11,0.0
2003-04-12,0.0
2003-04-13,0.0
2003-04-14,0.0
2003-04-15,0.0
2003-04-16,0.0
2003-04-17,0.0
2003-04-18,0.0
2003-04-19,0.0
2003-04-20,0.0
2003-04-21,0.0
2003-04-22,0.0
2003-04-23,0.0
2003-04-24,3.0
2003-04-25,963.0
2003-04-26,0.0
2003-04-27,0.0
2003-04-28,0.0
2003-04-29,0.0
2003-04-30,0.0
2003-05-01,0.0
2003-05-02,3.0
2003-05-03,5.0
2003-05-04,122.0
2003-05-05,0.0
2003-05-06,0.0
2003-05-07,84.0
2003-05-08,0.0
2003-05-09,0.0
2003-05-10,0.0
2003-05-11,13.0
2003-05-12,168.0
2003-05-13,0.0
2003-05-14,5.0
2003-05-15,142.0
2003-05-16,0.0
2003-05-17,132.0
2003-05-18,318.0
2003-05-19,36.0
2003-05-20,0.0
2003-05-21,810.0
2003-05-22,0.0
2003-05-23,0.0
2003-05-24,0.0
2003-05-25,0.0
2003-05-26,104.0
2003-05-27,0.0
2003-05-28,0.0
2003-05-29,0.0
2003-05-30,0.0
2003-05-31,0.0
2003-06-01,0.0
2003-06-02,0.0
2003-06-03,188.0
2003-06-04,0.0
2003-06-05,0.0
2003-06-06,0.0
2003-06-07,74.0
2003-06-08,0.0
2003-06-09,3.0
2003-06-10,0.0
2003-06-11,142.0
2003-06-12,124.0
2003-06-13,356.0
2003-06-14,53.0
2003-06-15,15.0
2003-06-16,150.0
2003-06-17,0.0
2003-06-18,25.0
2003-06-19,0.0
2003-06-20,0.0
2003-06-21,0.0
2003-06-22,0.0
2003-06-23,0.0
2003-06-24,0.0
2003-06-25,0.0
2003-06-26,0.0
2003-06-27,0.0
2003-06-28,0.0
2003-06-29,0.0
2003-06-30,25.0
2003-07-01,15.0
2003-07-02,0.0
2003-07-03,632.0
2003-07-04,30.0
2003-07-05,320.0
2003-07-06,66.0
2003-07-07,0.0
2003-07-08,8.0
2003-07-09,41.0
2003-07-10,0.0
2003-07-11,15.0
2003-07-12,3.0
2003-07-13,3.0
2003-07-14,0.0
2003-07-15,0.0
2003-07-16,0.0
2003-07-17,0.0
2003-07-18,0.0
2003-07-19,48.0
2003-07-20,0.0
2003-07-21,3.0
2003-07-22,0.0
2003-07-23,213.0
2003-07-24,0.0
2003-07-25,0.0
2003-07-26,0.0
2003-07-27,0.0
2003-07-28,0.0
2003-07-29,0.0
2003-07-30,3.0
2003-07-31,3.0
2003-08-01,13.0
2003-08-02,0.0
2003-08-03,36.0
2003-08-04,147.0
2003-08-05,3.0
2003-08-06,3.0
2003-08-07,312.0
2003-08-08,0.0
2003-08-09,0.0
2003-08-10,0.0
2003-08-11,0.0
2003-08-12,3.0
2003-08-13,320.0
2003-08-14,0.0
2003-08-15,0.0
2003-08-16,0.0
2003-08-17,53.0
2003-08-18,0.0
2003-08-19,20.0
2003-08-20,0.0
2003-08-21,0.0
2003-08-22,0.0
2003-08-23,3.0
2003-08-24,0.0
2003-08-25,0.0
2003-08-26,0.0
2003-08-27,0.0
2003-08-28,112.0
