month_period,value
2008-01-01,0.0
2008-01-02,0.0
2008-01-03,0.0
2008-01-04,0.0
2008-01-05,0.0
2008-01-06,0.0
2008-01-07,0.0
2008-01-08,61.0
2008-01-09,0.0
2008-01-10,381.0
2008-01-11,0.0
2008-01-12,0.0
2008-01-13,5.0
2008-01-14,0.0
2008-01-15,0.0
2008-01-16,51.0
2008-01-17,0.0
2008-01-18,112.0
2008-01-19,15.0
2008-01-20,0.0
2008-01-21,0.0
2008-01-22,81.0
2008-01-23,38.0
2008-01-24,0.0
2008-01-25,165.0
2008-01-26,15.0
2008-01-27,0.0
2008-01-28,0.0
2008-01-29,112.0
2008-01-30,25.0
2008-01-31,330.0
2008-02-01,0.0
2008-02-02,0.0
2008-02-03,122.0
2008-02-04,0.0
2008-02-05,97.0
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,0.0
2008-02-09,0.0
2008-02-10,0.0
2008-02-11,0.0
2008-02-12,221.0
2008-02-13,0.0
2008-02-14,0.0
2008-02-15,0.0
2008-02-16,267.0
2008-02-17,0.0
2008-02-18,0.0
2008-02-19,0.0
2008-02-20,343.0
2008-02-21,635.0
2008-02-22,0.0
2008-02-23,0.0
2008-02-24,0.0
2008-02-25,33.0
2008-02-26,0.0
2008-02-27,0.0
2008-02-28,0.0
2008-02-29,64.0
2008-03-01,0.0
2008-03-02,0.0
2008-03-03,394.0
2008-03-04,0.0
2008-03-05,56.0
2008-03-06,0.0
2008-03-07,0.0
2008-03-08,0.0
2008-03-09,0.0
2008-03-10,64.0
2008-03-11,0.0
2008-03-12,0.0
2008-03-13,0.0
2008-03-14,0.0
2008-03-15,0.0
2008-03-16,0.0
2008-03-17,0.0
2008-03-18,152.0
2008-03-19,0.0
2008-03-20,0.0
2008-03-21,0.0
2008-03-22,0.0
2008-03-23,0.0
2008-03-24,0.0
2008-03-25,0.0
2008-03-26,0.0
2008-03-27,0.0
2008-03-28,0.0
2008-03-29,0.0
2008-03-30,3.0
2008-03-31,3.0
2008-04-01,503.0
2008-04-02,0.0
2008-04-03,0.0
2008-04-04,488.0
2008-04-05,0.0
2008-04-06,0.0
2008-04-07,0.0
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,10.0
2008-04-11,36.0
2008-04-12,0.0
2008-04-13,0.0
2008-04-14,0.0
2008-04-15,0.0
2008-04-16,0.0
2008-04-17,0.0
2008-04-18,191.0
2008-04-19,0.0
2008-04-20,0.0
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,0.0
2008-04-24,0.0
2008-04-25,140.0
2008-04-26,170.0
2008-04-27,117.0
2008-04-28,0.0
2008-04-29,0.0
2008-04-30,0.0
2008-05-01,0.0
2008-05-02,0.0
2008-05-03,0.0
2008-05-04,0.0
2008-05-05,0.0
2008-05-06,0.0
2008-05-07,0.0
2008-05-08,0.0
2008-05-09,0.0
2008-05-10,0.0
2008-05-11,0.0
2008-05-12,0.0
2008-05-13,30.0
2008-05-14,183.0
2008-05-15,953.0
2008-05-16,0.0
2008-05-17,0.0
2008-05-18,0.0
2008-05-19,0.0
2008-05-20,0.0
2008-05-21,0.0
2008-05-22,660.0
2008-05-23,0.0
2008-05-24,0.0
2008-05-25,25.0
2008-05-26,0.0
